,l_knee_pos,l_hall_pos,l_knee_vel,l_hall_vel,l_knee_eff,r_knee_pos,r_hall_pos,r_knee_vel,r_hall_vel,r_knee_eff,imu,l_pressure,r_pressure,command,timestamp
44,1.0037134885787964,0.6005434894468635,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2803824841976166,"[0.06051315367221832, -0.12676608562469482, -0.29372087121009827, -0.945513904094696, -0.026632016524672508, -0.08522245287895203, -0.011718086898326874, -3.670954704284668, -0.055482491850852966, 9.00560188293457]","[0.008048564347608844, 0.0, 0.0, 0.0]","[0.3445038954791026, 0.0, 1.1935618718232544, 0.0]",[],1661436448.0528347
45,1.0037134885787964,0.6005434894468635,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.060507144778966904, -0.1268422156572342, -0.29373258352279663, -0.9455004334449768, -0.026632016524672508, -0.08948357403278351, -0.004261122550815344, -3.6517646312713623, -0.03633822128176689, 8.991392135620117]","[0.11434586666439135, 0.0, 0.0, 0.0]","[0.4992021178182565, 0.0, 1.1620767205112557, 0.0]",[],1661436448.060805
46,1.0037134885787964,0.6005434894468635,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.060501061379909515, -0.1269037127494812, -0.29375287890434265, -0.945486307144165, -0.02769729681313038, -0.09267941862344742, -0.005326403304934502, -3.685347318649292, -0.017193952575325966, 8.92981243133545]","[0.003242329098354059, 0.0, 0.0, 0.0]","[0.4122596667727486, 0.0, 1.1429013934940493, 0.0]",[],1661436448.067087
47,1.0037134885787964,0.6032608808018267,0.0,0.5351723449165375,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.06049477681517601, -0.1269504427909851, -0.293783038854599, -0.9454710483551025, -0.02769729681313038, -0.09267941862344742, -0.002130561275407672, -3.7093353271484375, -0.026766089722514153, 9.0387601852417]","[0.0, 0.0, 0.0, 0.0]","[0.43924185277634065, 0.0, 1.2061554226596556, 0.0]",[],1661436448.0721645
48,1.0037134885787964,0.6005434894468635,0.0,-0.4913802728901703,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.06048302352428436, -0.127008318901062, -0.2938254773616791, -0.9454508423805237, -0.02769729681313038, -0.09480997920036316, 0.00745696434751153, -3.699740171432495, -0.041124291718006134, 8.972444534301758]","[0.008347980835875856, 0.0, 0.0, 0.0]","[0.4602277008470015, 0.0, 1.304900753946331, 0.0]",[],1661436448.0776947
49,1.0037134885787964,0.6005434894468635,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,1.1616459599247686,-0.2603551745414734,"[0.06047528609633446, -0.12703953683376312, -0.29386261105537415, -0.9454355835914612, -0.02769729681313038, -0.09587525576353073, 0.008522245101630688, -3.7381203174591064, -0.041124291718006134, 9.043497085571289]","[0.0, 0.0, 0.0, 0.0]","[0.41225877697634966, 0.0, 1.261110025742858, 0.0]",[],1661436448.0820205
50,1.0037134885787964,0.6032608808018267,0.0,0.3727740124182338,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.06046746298670769, -0.12710672616958618, -0.2939469814300537, -0.9454008340835571, -0.02876257710158825, -0.0969405397772789, 0.010652806609869003, -3.6901450157165527, -0.026766089722514153, 9.01507568359375]","[0.11284300054646272, 0.0, 0.0, 0.0]","[0.44883563755047107, 0.0, 1.1540644188931148, 0.0]",[],1661436448.0893102
51,1.0037134885787964,0.6005434894468635,0.0,-0.583323887081606,0.0,-1.0016894340515137,-0.8341708453372121,0.0,-1.0787094680830647,-0.2603551745414734,"[0.0604645274579525, -0.12713918089866638, -0.293994665145874, -0.9453818202018738, -0.03302370011806488, -0.10333222150802612, 0.012783367186784744, -3.771703004837036, -0.041124291718006134, 8.972444534301758]","[0.01435232693639818, 0.0, 0.0, 0.0]","[0.44613732997047195, 0.0, 1.0936714406021797, 0.0]",[],1661436448.0939686
52,1.0037134885787964,0.6005434894468635,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,1.0329284144511148,-0.2670309245586395,"[0.060464080423116684, -0.12716922163963318, -0.29404667019844055, -0.9453616142272949, -0.03089313767850399, -0.09907110035419464, 0.017044490203261375, -3.7237277030944824, -0.04591035842895508, 9.052970886230469]","[0.0, 0.051489405868220414, 0.0, 0.0]","[0.32231771206617676, 0.0, 1.1726671959431219, 0.0]",[],1661436448.0988336
53,1.0037134885787964,0.6005434894468635,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.06045064702630043, -0.12719540297985077, -0.29413163661956787, -0.9453325271606445, -0.03089313767850399, -0.10972390323877335, 0.017044490203261375, -3.7621078491210938, -0.002835749415680766, 9.052970886230469]","[0.0, 0.0, 0.0, 0.0]","[0.2482661863513324, 0.0, 1.2771388763824572, 0.0]",[],1661436448.1041176
